url,name,born,died
Ralph_Abernathy,Ralph Abernathy,"David Abernathy(1926-03-11)March 11, 1926Linden, Alabama, U.S.","April 17, 1990(1990-04-17) (aged 64)Atlanta, Georgia, U.S."
Coretta_Scott_King,Coretta Scott King,"Coretta Scott(1927-04-27)April 27, 1927Heiberger, Alabama, U.S.","January 30, 2006(2006-01-30) (aged 78)Rosarito Beach, Baja California, Mexico"
Frank_Church,Frank Church,"Frank Forrester Church III(1924-07-25)July 25, 1924Boise, Idaho, United States","April 7, 1984(1984-04-07) (aged 59)Bethesda, Maryland, United States"
Howard_Baker,Howard Baker,"Howard Henry Baker Jr.(1925-11-15)November 15, 1925Huntsville, Tennessee, U.S.","June 26, 2014(2014-06-26) (aged 88)Huntsville, Tennessee, U.S."
Martin_Luther_King_Jr.,Martin Luther King Jr.,"Michael King Jr.(1929-01-15)January 15, 1929Atlanta, Georgia, U.S.","April 4, 1968(1968-04-04) (aged 39)Memphis, Tennessee, U.S."
Leroy_Johnson_(Georgia_politician),Leroy Johnson (Georgia politician),"(1928-07-28)July 28, 1928Atlanta, Georgia, U.S.","October 24, 2019(2019-10-24) (aged 91)Atlanta, Georgia, U.S."
Jesse_Hill_Jr.,Jesse Hill,"(1926-05-30)May 30, 1926St. Louis, Missouri","December 17, 2012(2012-12-17) (aged 86)Atlanta, Georgia"
Jerry_Quarry,Jerry Quarry,"(1945-05-15)May 15, 1945Bakersfield, California, U.S.","January 3, 1999(1999-01-03) (aged 53)Templeton, California, U.S."
Oscar_Bonavena,Oscar Bonavena,"(1942-09-25)September 25, 1942Buenos Aires, Argentina","May 22, 1976(1976-05-22) (aged 33)Sparks, Nevada, U.S."
Wilt_Chamberlain,Wilt Chamberlain,"(1936-08-21)August 21, 1936Philadelphia, Pennsylvania","October 12, 1999(1999-10-12) (aged 63)Bel Air, California"
Jack_Kent_Cooke,Jack Kent Cooke,"(1912-10-25)October 25, 1912Hamilton, Ontario, Canada","April 6, 1997(1997-04-06) (aged 84)Washington, D.C., U.S."
Jimmy_Ellis_(boxer),Jimmy Ellis (boxer),"(1940-02-24)February 24, 1940Louisville, Kentucky, U.S.","May 6, 2014(2014-05-06) (aged 74)Louisville, Kentucky, U.S."
Bob_Foster_(boxer),Bob Foster (boxer),"(1942-04-27)April 27, 1942[2]Borger, Texas, U.S.","November 21, 2015(2015-11-21) (aged 73)Albuquerque, New Mexico, U.S."
Ken_Norton,Ken Norton,"(1943-08-09)August 9, 1943Jacksonville, Illinois, U.S.","September 18, 2013(2013-09-18) (aged 70)Henderson, Nevada, U.S."
